Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
64895,Cod: A Biography of the Fish that Changed the World,Mark Kurlansky,"Kurlansky, Mark",,"=""0099268701""","=""9780099268703""",3,3.92,Vintage/Ebury,Paperback,294,1999,1997,2021/08/13,2017/08/07,,,read,,,,1,0
16121977,Booked: Literature in the Soul of Me,Karen Swallow Prior,"Prior, Karen Swallow",,"=""0692014543""","=""9780692014547""",4,4.25,T. S. Poetry Press,Paperback,220,2012,2012,2021/08/05,2021/07/30,,,read,,,,1,0
1660754,The Psychology of Computer Programming,Gerald M. Weinberg,"Weinberg, Gerald M.",,"=""0932633420""","=""9780932633422""",0,4.06,Dorset House,Paperback,292,1998,1971,,2021/07/31,to-read,to-read (#108),to-read,,,,0,0
13533740,Thomas Jefferson: The Art of Power,Jon Meacham,"Meacham, Jon",,"=""1400067669""","=""9781400067664""",3,4.04,Random House,Hardcover,759,2012,2012,2021/07/27,2017/01/22,,,read,,,,1,0
903564,The Rise of American Democracy: Jefferson to Lincoln,Sean Wilentz,"Wilentz, Sean",,"=""0393058204""","=""9780393058208""",0,3.97,W. W. Norton & Company,Hardcover,1044,2005,2005,,2021/07/19,to-read,to-read (#107),to-read,,,,0,0
50884562,Dostoevsky in Love: An Intimate Life,Alex Christofi,"Christofi, Alex",,"=""1472964691""","=""9781472964694""",0,4.18,Bloomsbury Continuum,Hardcover,256,2021,2021,,2021/07/13,to-read,to-read (#106),to-read,,,,0,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250304458""","=""9781250304452""",2,3.62,Celadon Books,Hardcover,337,2021,2021,2021/07/07,2021/07/03,,,read,,,,1,0
42041926,The Scout Mindset: Why Some People See Things Clearly and Others Don't,Julia Galef,"Galef, Julia",,"=""0735217556""","=""9780735217553""",4,4.11,Portfolio,Hardcover,288,2021,2021,2021/07/03,2021/05/25,,,read,,,,1,0
57976553,Tess of the d'Urbervilles: A Guide to Reading and Reflecting (Read and Reflect with the Classics),Karen Swallow Prior,"Prior, Karen Swallow",Thomas Hardy,"=""1462796699""","=""9781462796694""",0,4.23,B&H Books,Hardcover,664,2022,,,2021/07/03,to-read,to-read (#105),to-read,,,,0,0
53420034,Jane Eyre: A Guide to Reading and Reflecting,Charlotte Brontë,"Brontë, Charlotte",Karen Swallow Prior,"=""1462796672""","=""9781462796670""",4,4.77,B&H Books,Hardcover,760,2021,,2021/07/03,2021/03/27,,,read,,,,1,0
